I 14:02:18.901   [MOTION]       Motion Mode Changed: 0->1
I 14:02:21.739   [MOTION]       Motion-Time Done
I 14:02:21.739   [MOTION]       Motion Mode Changed: 1->0
I 14:02:21.808   [MOTION]       Motion Mode Changed: 0->1
I 14:02:23.811   [MOTION]       Motion-Time Done
I 14:02:23.811   [MOTION]       Motion Mode Changed: 1->0
I 14:10:47.748   [MOTION]       Motion Mode Changed: 0->1
I 14:10:47.751   [MOTION]       Motion-Time Done
I 14:10:47.751   [MOTION]       Motion Mode Changed: 1->0
I 14:10:48.024   [SYSTEM]       PAUSE
I 14:10:49.641   [SYSTEM]       RESUME from PAUSE
I 14:10:49.676   [MOTION]       Motion Mode Changed: 0->1
I 14:10:52.871   [MOTION]       Motion-Time Done
I 14:10:52.871   [MOTION]       Motion Mode Changed: 1->0
I 14:11:05.062   [MOTION]       Motion Mode Changed: 0->1
I 14:11:07.065   [MOTION]       Motion-Time Done
I 14:11:07.065   [MOTION]       Motion Mode Changed: 1->0
I 14:11:07.252   [SYSTEM]       PAUSE
I 14:11:12.592   [SYSTEM]       RESUME from PAUSE
I 14:11:12.683   [MOTION]       Motion Mode Changed: 0->1
I 14:11:15.829   [MOTION]       Motion-Time Done
I 14:11:15.829   [MOTION]       Motion Mode Changed: 1->0
I 14:13:48.785   [MOTION]       Motion Mode Changed: 0->1
I 14:13:50.789   [MOTION]       Motion-Time Done
I 14:13:50.789   [MOTION]       Motion Mode Changed: 1->0
I 14:13:50.907   [SYSTEM]       PAUSE
I 14:13:52.200   [SYSTEM]       RESUME from PAUSE
I 14:13:52.279   [MOTION]       Motion Mode Changed: 0->1
I 14:13:55.435   [MOTION]       Motion-Time Done
I 14:13:55.435   [MOTION]       Motion Mode Changed: 1->0
I 14:13:58.362   [MOTION]       Motion Mode Changed: 0->1
I 14:14:00.365   [MOTION]       Motion-Time Done
I 14:14:00.365   [MOTION]       Motion Mode Changed: 1->0
I 14:14:00.485   [SYSTEM]       PAUSE
I 14:14:01.645   [SYSTEM]       RESUME from PAUSE
I 14:14:01.693   [MOTION]       Motion Mode Changed: 0->1
I 14:14:04.875   [MOTION]       Motion-Time Done
I 14:14:04.875   [MOTION]       Motion Mode Changed: 1->0
I 14:14:28.100   [MOTION]       Motion Mode Changed: 0->1
I 14:14:30.103   [MOTION]       Motion-Time Done
I 14:14:30.103   [MOTION]       Motion Mode Changed: 1->0
I 14:14:30.233   [SYSTEM]       PAUSE
I 14:14:31.782   [SYSTEM]       RESUME from PAUSE
I 14:14:31.839   [MOTION]       Motion Mode Changed: 0->1
I 14:14:35.015   [MOTION]       Motion-Time Done
I 14:14:35.015   [MOTION]       Motion Mode Changed: 1->0
I 14:14:35.124   [SYSTEM]       PAUSE
I 14:14:36.523   [SYSTEM]       RESUME from PAUSE
I 14:22:31.426   [MAIN]         System Version: 1.0.0
I 14:22:32.436   [LAN2CAN]      Succeed to create socket
I 14:22:32.938   [DAEMON]       Succeed to start read thread
I 14:22:32.938   [DAEMON]       Succeed to start real-time thread
I 14:22:36.451   [MAIN]         SYSTEM STARTING
W 14:22:42.764   [SYSTEM]       MSG:102/MSG_SYSTEM_NOT_CONNECT_INTERFACE
I 14:22:42.786   [SYSTEM]       Servo Call: 1/1
I 14:22:42.786   [SYSTEM]       ServoState: 0
W 14:22:42.786   [SYSTEM]       MSG:102/MSG_SYSTEM_NOT_CONNECT_INTERFACE
W 14:22:46.603   [SYSTEM]       MSG:102/MSG_SYSTEM_NOT_CONNECT_INTERFACE
I 14:22:46.608   [SYSTEM]       Servo Call: 1/1
I 14:22:46.608   [SYSTEM]       ServoState: 0
W 14:22:46.608   [SYSTEM]       MSG:102/MSG_SYSTEM_NOT_CONNECT_INTERFACE
I 14:26:54.537   [MOTION]       Motion Mode Changed: 0->1
I 14:26:54.540   [MOTION]       Motion-Time Done
I 14:26:54.540   [MOTION]       Motion Mode Changed: 1->0
I 14:26:54.612   [SYSTEM]       PAUSE
I 14:26:55.927   [SYSTEM]       RESUME from PAUSE
I 14:26:55.987   [MOTION]       Motion Mode Changed: 0->1
I 14:26:59.160   [MOTION]       Motion-Time Done
I 14:26:59.160   [MOTION]       Motion Mode Changed: 1->0
I 14:27:08.287   [MOTION]       Motion Mode Changed: 0->1
I 14:27:10.290   [MOTION]       Motion-Time Done
I 14:27:10.290   [MOTION]       Motion Mode Changed: 1->0
I 14:27:10.444   [SYSTEM]       PAUSE
I 14:27:44.236   [SYSTEM]       RESUME from PAUSE
I 14:27:44.293   [MOTION]       Motion Mode Changed: 0->1
I 14:27:47.468   [MOTION]       Motion-Time Done
I 14:27:47.468   [MOTION]       Motion Mode Changed: 1->0
I 14:54:30.045   [MOTION]       Motion Mode Changed: 0->1
I 14:54:32.048   [MOTION]       Motion-Time Done
I 14:54:32.048   [MOTION]       Motion Mode Changed: 1->0
I 14:54:32.149   [SYSTEM]       PAUSE
I 14:57:12.885   [MOTION]       Motion Mode Changed: 0->1
I 14:57:12.888   [MOTION]       Motion-Time Done
I 14:57:12.888   [MOTION]       Motion Mode Changed: 1->0
I 14:57:12.992   [SYSTEM]       PAUSE
I 14:57:14.053   [SYSTEM]       RESUME from PAUSE
I 14:57:14.094   [MOTION]       Motion Mode Changed: 0->1
I 14:57:17.284   [MOTION]       Motion-Time Done
I 14:57:17.284   [MOTION]       Motion Mode Changed: 1->0
I 14:57:30.707   [MOTION]       Motion Mode Changed: 0->1
I 14:57:32.710   [MOTION]       Motion-Time Done
I 14:57:32.710   [MOTION]       Motion Mode Changed: 1->0
I 14:57:32.891   [SYSTEM]       PAUSE
I 14:57:35.585   [SYSTEM]       RESUME from PAUSE
I 14:57:35.628   [MOTION]       Motion Mode Changed: 0->1
I 14:57:38.816   [MOTION]       Motion-Time Done
I 14:57:38.816   [MOTION]       Motion Mode Changed: 1->0
I 14:57:38.986   [SYSTEM]       PAUSE
I 14:57:40.572   [SYSTEM]       RESUME from PAUSE
I 17:53:36.325   [MOTION]       Motion Mode Changed: 0->1
I 17:53:38.328   [MOTION]       Motion-Time Done
I 17:53:38.328   [MOTION]       Motion Mode Changed: 1->0
I 17:53:38.494   [MOTION]       Motion Mode Changed: 0->1
I 17:53:40.128   [MOTION]       Motion-Time Done
I 17:53:40.128   [MOTION]       Motion Mode Changed: 1->0
I 17:53:40.183   [SYSTEM]       PAUSE
I 17:54:07.062   [MOTION]       Motion Mode Changed: 0->1
I 17:54:08.064   [MOTION]       Motion-Time Done
I 17:54:08.064   [MOTION]       Motion Mode Changed: 1->0
I 17:54:08.238   [MOTION]       Motion Mode Changed: 0->1
I 17:54:10.548   [MOTION]       Motion-Time Done
I 17:54:10.548   [MOTION]       Motion Mode Changed: 1->0
I 17:54:10.644   [SYSTEM]       PAUSE
