I 17:41:56.723   [MOTION]       Motion-Time Done
I 17:41:56.723   [MOTION]       Motion Mode Changed: 1->0
I 17:41:56.757   [MOTION]       Motion Mode Changed: 0->1
I 17:41:58.759   [MOTION]       Motion-Time Done
I 17:41:58.759   [MOTION]       Motion Mode Changed: 1->0
I 17:41:58.812   [MOTION]       Motion Mode Changed: 0->1
I 17:42:00.815   [MOTION]       Motion-Time Done
I 17:42:00.815   [MOTION]       Motion Mode Changed: 1->0
I 17:42:00.879   [MOTION]       Motion Mode Changed: 0->1
I 17:42:02.883   [MOTION]       Motion-Time Done
I 17:42:02.883   [MOTION]       Motion Mode Changed: 1->0
I 17:42:10.838   [MOTION]       Motion Mode Changed: 0->1
I 17:42:12.841   [MOTION]       Motion-Time Done
I 17:42:12.841   [MOTION]       Motion Mode Changed: 1->0
I 17:42:12.877   [MOTION]       Motion Mode Changed: 0->1
I 17:42:14.881   [MOTION]       Motion-Time Done
I 17:42:14.881   [MOTION]       Motion Mode Changed: 1->0
I 17:42:14.932   [MOTION]       Motion Mode Changed: 0->1
I 17:42:16.935   [MOTION]       Motion-Time Done
I 17:42:16.935   [MOTION]       Motion Mode Changed: 1->0
I 17:42:16.984   [MOTION]       Motion Mode Changed: 0->1
I 17:42:18.987   [MOTION]       Motion-Time Done
I 17:42:18.987   [MOTION]       Motion Mode Changed: 1->0
I 17:52:08.787   [MOTION]       Motion Mode Changed: 0->1
I 17:52:10.789   [MOTION]       Motion-Time Done
I 17:52:10.789   [MOTION]       Motion Mode Changed: 1->0
I 17:52:11.083   [MOTION]       Motion Mode Changed: 0->1
I 17:52:13.085   [MOTION]       Motion-Time Done
I 17:52:13.085   [MOTION]       Motion Mode Changed: 1->0
I 17:52:13.335   [MOTION]       Motion Mode Changed: 0->1
I 17:52:15.337   [MOTION]       Motion-Time Done
I 17:52:15.337   [MOTION]       Motion Mode Changed: 1->0
I 17:52:15.487   [MOTION]       Motion Mode Changed: 0->1
I 17:52:17.489   [MOTION]       Motion-Time Done
I 17:52:17.489   [MOTION]       Motion Mode Changed: 1->0
I 17:53:11.636   [MOTION]       Motion Mode Changed: 0->1
I 17:53:13.639   [MOTION]       Motion-Time Done
I 17:53:13.639   [MOTION]       Motion Mode Changed: 1->0
I 17:53:13.683   [MOTION]       Motion Mode Changed: 0->1
I 17:53:15.685   [MOTION]       Motion-Time Done
I 17:53:15.685   [MOTION]       Motion Mode Changed: 1->0
I 17:53:15.736   [MOTION]       Motion Mode Changed: 0->1
I 17:53:17.739   [MOTION]       Motion-Time Done
I 17:53:17.739   [MOTION]       Motion Mode Changed: 1->0
I 17:53:17.795   [MOTION]       Motion Mode Changed: 0->1
I 17:53:19.797   [MOTION]       Motion-Time Done
I 17:53:19.797   [MOTION]       Motion Mode Changed: 1->0
I 17:57:33.490   [MOTION]       Motion Mode Changed: 0->1
I 17:57:35.493   [MOTION]       Motion-Time Done
I 17:57:35.493   [MOTION]       Motion Mode Changed: 1->0
I 17:57:35.706   [MOTION]       Motion Mode Changed: 0->1
I 17:57:37.709   [MOTION]       Motion-Time Done
I 17:57:37.710   [MOTION]       Motion Mode Changed: 1->0
I 17:57:38.075   [MOTION]       Motion Mode Changed: 0->1
I 17:57:40.077   [MOTION]       Motion-Time Done
I 17:57:40.077   [MOTION]       Motion Mode Changed: 1->0
I 17:57:40.265   [MOTION]       Motion Mode Changed: 0->1
I 17:57:42.267   [MOTION]       Motion-Time Done
I 17:57:42.267   [MOTION]       Motion Mode Changed: 1->0
